launch_id,date,year,month,rocket,launch_site,country,operator,mission_type,orbit,payload_mass_kg,n_payloads,launch_success,failure_mode,crewed,crew_size,booster_reused,launch_cost_m_usd,rocket_era,rocket_type
SL000001,2015-01-15,2015,1,Long March 3B,Jiuquan Satellite Launch,China,CASC,Commercial Satellite,LEO,1335,1,1,,0,0,0,87.2,Modern,orbital
SL000002,1988-09-18,1988,9,Juno I,Wallops Flight Facility,USA,Army,Human Spaceflight,ISS,5,1,0,guidance failure,1,1,0,,Cold War,orbital
SL000003,2020-11-14,2020,11,Antares,Mahia Peninsula LC-1,USA,Northrop,Communications,GEO,979,1,1,,0,0,0,74.4,Modern,orbital
SL000004,2009-03-04,2009,3,Long March 2C,Taiyuan Satellite Launch,China,CASC,Space Station Resupply,LEO,310,1,1,,0,0,0,24.3,Modern,orbital
SL000005,1968-05-20,1968,5,Sputnik (R-7),Kapustin Yar,USSR,OKB-1,Defense/Intelligence,LEO,112,1,0,fairing failure,0,0,0,,Cold War,orbital
SL000006,2024-08-11,2024,8,Long March 2F,Wenchang Space Launch,China,CASC,IoT/Cubesat,SSO,1360,53,1,,0,0,0,,Modern,crewed
SL000007,2014-09-01,2014,9,H-II,Uchinoura Space Center,Japan,NASDA,IoT/Cubesat,LEO,1726,1,1,,0,0,0,,Post-Cold War,orbital
SL000008,2015-01-09,2015,1,Scout,SpaceX Starbase (Boca Chica),USA,LTV,IoT/Cubesat,SSO,16,1,1,,0,0,0,,Cold War,orbital
SL000009,1970-01-13,1970,1,Cyclone-2,Plesetsk Cosmodrome,USSR,Yuzhnoye,Human Spaceflight,ISS,1056,1,1,,1,5,0,,Cold War,orbital
SL000010,1989-02-27,1989,2,Vostok-K,Kapustin Yar,USSR,OKB-1,Space Telescope,GTO,665,1,1,,0,0,0,,Cold War,orbital
SL000011,1985-09-01,1985,9,Vostok-K,Baikonur Cosmodrome,USSR,OKB-1,Interplanetary,Interplanetary,658,1,0,guidance failure,0,0,0,,Cold War,orbital
SL000012,2022-01-05,2022,1,Zhuque-2,SpaceX Starbase (Boca Chica),Other,LandSpace,Earth Observation,GTO,475,1,1,,0,0,0,,New Space,commercial
SL000013,2004-01-23,2004,1,Pegasus XL,Mahia Peninsula LC-1,USA,Orbital Sciences,Astronomy,LEO,143,1,1,,0,0,0,30.8,Post-Cold War,air-launch
SL000014,2018-02-28,2018,2,Titan III,Wallops Flight Facility,USA,USAF,Earth Observation,GEO,2462,1,1,,0,0,0,,Cold War,orbital
SL000015,1988-05-10,1988,5,Long March 1,Wenchang Space Launch,China,CASC,Communications,GEO,56,1,1,,0,0,0,,Cold War,orbital
SL000016,1976-11-23,1976,11,Soyuz-U,Plesetsk Cosmodrome,USSR,TsSKB,Defense/Intelligence,LEO,468,1,1,,0,0,0,41.1,Cold War,orbital
SL000017,1996-02-28,1996,2,Rokot,Plesetsk Cosmodrome,Russia,Khrunichev,Astronomy,LEO,228,1,1,,0,0,0,39.3,Post-Soviet,orbital
SL000018,1966-07-20,1966,7,Titan II GLV,Wallops Flight Facility,USA,USAF,Earth Observation,SSO,422,1,1,,0,0,0,,Cold War,orbital
SL000019,2018-07-14,2018,7,Soyuz-2.1b,Baikonur Cosmodrome,Russia,TsSKB,Space Station Resupply,ISS,1213,1,1,,0,0,0,54.6,Modern,orbital
SL000020,2003-01-10,2003,1,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Rideshare,SSO,5865,1,1,,0,0,0,94.2,Modern,orbital
SL000021,2014-03-06,2014,3,Long March 3B,Jiuquan Satellite Launch,China,CASC,Navigation/GPS,MEO,1712,1,1,,0,0,0,84.1,Modern,orbital
SL000022,1984-08-20,1984,8,Cyclone-2,Plesetsk Cosmodrome,USSR,Yuzhnoye,IoT/Cubesat,SSO,575,1,1,,0,0,0,,Cold War,orbital
SL000023,2024-07-15,2024,7,New Glenn,Wallops Flight Facility,USA,Blue Origin,Weather,SSO,8268,1,0,software,0,0,0,,New Space,orbital
SL000024,2021-04-06,2021,4,Unha-3,Hammaguira,Other,KCST,Rideshare,SSO,17,23,0,guidance failure,0,0,0,,Modern,orbital
SL000025,2015-11-10,2015,11,Minotaur I,Cape Canaveral SLC-40,USA,Orbital ATK,Earth Observation,LEO,132,1,1,,0,0,0,31.4,Modern,orbital
SL000026,1974-03-09,1974,3,Soyuz-U,Baikonur Cosmodrome,USSR,TsSKB,Human Spaceflight,LEO,1513,1,1,,1,7,0,40.4,Cold War,orbital
SL000027,1989-08-01,1989,8,Soyuz 11A511,Kapustin Yar,USSR,OKB-1,Weather,LEO,1701,1,1,,0,0,0,,Cold War,orbital
SL000028,1965-06-11,1965,6,Proton-K,Baikonur Cosmodrome,USSR,Khrunichev,Scientific,SSO,10123,1,1,,0,0,0,,Cold War,orbital
SL000029,1972-10-22,1972,10,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Earth Observation,LEO,2744,1,0,engine failure,0,0,0,,Cold War,orbital
SL000030,2008-05-11,2008,5,Delta IV Medium,SpaceX Starbase (Boca Chica),USA,Boeing,Lunar,TLI,874,1,1,,0,0,0,208.3,Modern,orbital
SL000031,2013-10-15,2013,10,Long March 2D,Xichang Satellite Launch,China,CASC,Communications,GEO,763,1,1,,0,0,0,22.1,Modern,orbital
SL000032,2024-10-19,2024,10,Hyperbola-1,Jiuquan Satellite Launch,China,iSpace,Lunar,Interplanetary,65,1,1,,0,0,0,,New Space,small-sat
SL000033,1982-10-13,1982,10,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Space Station Module,ISS,349,1,1,,0,0,0,,Cold War,orbital
SL000034,1985-02-15,1985,2,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Space Station Resupply,ISS,101,1,1,,0,0,0,,Cold War,orbital
SL000035,1990-04-14,1990,4,Proton-K,Baikonur Cosmodrome,USSR,Khrunichev,Space Station Resupply,ISS,6857,1,1,,0,0,0,,Cold War,orbital
SL000036,1974-01-07,1974,1,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Scientific,LEO,249,1,0,engine failure,0,0,0,,Cold War,orbital
SL000037,1970-07-20,1970,7,Vanguard,Vandenberg SFB SLC-4E,USA,NRL,Communications,GEO,1,1,0,upper stage failure,0,0,0,,Cold War,orbital
SL000038,1990-09-20,1990,9,Soyuz-U,Baikonur Cosmodrome,USSR,TsSKB,Astronomy,LEO,2030,1,1,,0,0,0,34.1,Cold War,orbital
SL000039,1976-09-02,1976,9,Vanguard,Cape Canaveral SLC-40,USA,NRL,Earth Observation,GEO,1,1,1,,0,0,0,,Cold War,orbital
SL000040,2007-09-14,2007,9,Proton-M,Svobodny / Vostochny,Russia,Khrunichev,Commercial Satellite,MEO,4108,1,1,,0,0,0,97.5,Modern,orbital
SL000041,1988-11-17,1988,11,Titan III,Kennedy Space Center LC-39A,USA,USAF,Astronomy,SSO,2280,1,1,,0,0,0,,Cold War,orbital
SL000042,2018-05-28,2018,5,Antares,Wallops Flight Facility,USA,Northrop,Rideshare,SSO,3991,14,1,,0,0,0,88.4,Modern,orbital
SL000043,2009-06-05,2009,6,Long March 2F,Jiuquan Satellite Launch,China,CASC,Weather,LEO,3164,1,1,,0,0,0,,Modern,crewed
SL000044,1981-05-17,1981,5,Voskhod,Baikonur Cosmodrome,USSR,OKB-1,Space Station Resupply,LEO,1111,1,1,,0,0,0,,Cold War,orbital
SL000045,2018-05-08,2018,5,Proton-M,Plesetsk Cosmodrome,Russia,Khrunichev,Earth Observation,SSO,5268,1,1,,0,0,0,88.8,Modern,orbital
SL000046,2017-01-20,2017,1,Minotaur IV,SpaceX Starbase (Boca Chica),USA,Orbital ATK,Rideshare,SSO,250,1,1,,0,0,0,57.5,Modern,orbital
SL000047,1985-04-07,1985,4,Ariane 1,Kourou ELA-4 (Ariane 6),Europe,CNES,Space Station Module,LEO,198,1,1,,0,0,0,,Cold War,orbital
SL000048,1980-04-01,1980,4,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Space Station Module,LEO,288,1,1,,0,0,0,,Cold War,orbital
SL000049,2008-11-03,2008,11,Taurus,Cape Canaveral SLC-40,USA,Orbital Sciences,Earth Observation,HEO,185,1,1,,0,0,0,41.5,Post-Cold War,orbital
SL000050,1971-06-01,1971,6,Cosmos-3M,Plesetsk Cosmodrome,USSR,PO Polyot,Communications,GEO,552,1,1,,0,0,0,,Cold War,orbital
SL000051,1975-09-14,1975,9,Proton-K,Kapustin Yar,USSR,Khrunichev,Earth Observation,LEO,3491,1,0,structural failure,0,0,0,,Cold War,orbital
SL000052,1960-03-03,1960,3,Scout,Vandenberg SFB SLC-4E,USA,LTV,Human Spaceflight,ISS,28,1,1,,1,7,0,,Cold War,orbital
SL000053,2016-05-06,2016,5,Diamant,Kourou ELA-4 (Ariane 6),Europe,CNES,Scientific,HEO,17,1,1,,0,0,0,,Cold War,orbital
SL000054,2006-09-12,2006,9,H-IIA,Uchinoura Space Center,Japan,JAXA,Commercial Satellite,GEO,2823,1,0,structural failure,0,0,0,76.5,Modern,orbital
SL000055,2010-09-12,2010,9,Long March 4B,Taiyuan Satellite Launch,China,CASC,Communications,GEO,689,1,1,,0,0,0,24.9,Modern,orbital
SL000056,2015-03-20,2015,3,Juno I,Cape Canaveral SLC-41,USA,Army,Space Telescope,SSO,2,1,1,,0,0,0,,Cold War,orbital
SL000057,1989-02-07,1989,2,Sputnik (R-7),Baikonur Cosmodrome,USSR,OKB-1,Military Reconnaissance,LEO,195,1,1,,0,0,0,,Cold War,orbital
SL000058,1997-03-15,1997,3,Vanguard,Kennedy Space Center LC-39A,USA,NRL,Earth Observation,LEO,2,1,0,structural failure,0,0,0,,Cold War,orbital
SL000059,1971-09-18,1971,9,Jupiter-C,Cape Canaveral SLC-40,USA,Army,Defense/Intelligence,LEO,2,1,0,fairing failure,0,0,0,,Cold War,suborbital
SL000060,1969-02-20,1969,2,Sputnik (R-7),Plesetsk Cosmodrome,USSR,OKB-1,Earth Observation,GEO,97,1,0,upper stage failure,0,0,0,,Cold War,orbital
SL000061,2006-10-03,2006,10,Soyuz-2.1a,Plesetsk Cosmodrome,Russia,TsSKB,Weather,LEO,1377,1,1,,0,0,0,48.3,Modern,orbital
SL000062,1990-10-24,1990,10,Mu-4S,Uchinoura Space Center,Japan,ISAS,Commercial Satellite,LEO,29,1,1,,0,0,0,,Cold War,orbital
SL000063,1997-05-28,1997,5,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Lunar,Interplanetary,10,1,0,engine failure,0,0,0,,Cold War,orbital
SL000064,2014-05-25,2014,5,Soyuz-FG,Plesetsk Cosmodrome,Russia,TsSKB,Interplanetary,TLI,2258,1,1,,0,0,0,66.2,Modern,orbital
SL000065,2003-01-26,2003,1,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Earth Observation,SSO,6711,1,1,,0,0,0,91.0,Modern,orbital
SL000066,1996-02-17,1996,2,Scout,Kapustin Yar Site 86,Other,LTV,Communications,GEO,67,1,1,,0,0,0,,Cold War,orbital
SL000067,1996-07-22,1996,7,Ariane 4,Guiana Space Centre ELA-3,Europe,Arianespace,Lunar,TLI,1779,1,1,,0,0,0,,Post-Cold War,orbital
SL000068,1981-02-12,1981,2,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Space Telescope,HEO,169,1,1,,0,0,0,,Cold War,orbital
SL000069,1963-01-17,1963,1,Sputnik (R-7),Kapustin Yar,USSR,OKB-1,Scientific,GTO,92,1,1,,0,0,0,,Cold War,orbital
SL000070,1988-06-27,1988,6,Ariane 1,Guiana Space Centre ELA-3,Europe,CNES,Defense/Intelligence,GEO,507,1,1,,0,0,0,,Cold War,orbital
SL000071,1976-12-22,1976,12,Vanguard,Vandenberg SFB SLC-4E,USA,NRL,Defense/Intelligence,LEO,2,1,0,upper stage failure,0,0,0,,Cold War,orbital
SL000072,1986-10-20,1986,10,Lambda 4S,Uchinoura Space Center,Japan,ISAS,Defense/Intelligence,GEO,5,1,0,structural failure,0,0,0,,Cold War,orbital
SL000073,2020-02-07,2020,2,Minotaur I,SpaceX Starbase (Boca Chica),USA,Orbital ATK,Defense/Intelligence,LEO,89,1,1,,0,0,0,35.0,Modern,orbital
SL000074,1977-04-28,1977,4,Vostok-K,Kapustin Yar,USSR,OKB-1,Scientific,HEO,1478,1,1,,0,0,0,,Cold War,orbital
SL000075,1966-01-23,1966,1,Soyuz 11A511,SpaceX Starbase (Boca Chica),Other,OKB-1,Human Spaceflight,LEO,1921,1,0,engine failure,1,4,0,,Cold War,orbital
SL000076,1980-10-25,1980,10,Cyclone-2,Baikonur Cosmodrome,USSR,Yuzhnoye,Communications,GEO,911,1,1,,0,0,0,,Cold War,orbital
SL000077,1980-04-25,1980,4,Cyclone-2,Kapustin Yar,USSR,Yuzhnoye,Communications,GTO,422,1,1,,0,0,0,,Cold War,orbital
SL000078,2006-12-23,2006,12,Soyuz-FG,Baikonur Cosmodrome,Russia,TsSKB,IoT/Cubesat,LEO,1289,1,1,,0,0,0,78.1,Modern,orbital
SL000079,1996-11-06,1996,11,Saturn IB,Wallops Flight Facility,USA,NASA,Technology Demonstration,GTO,10477,1,1,,0,0,0,,Cold War,orbital
SL000080,2015-02-21,2015,2,Diamant,Guiana Space Centre ELA-3,Europe,CNES,Weather,GEO,16,1,1,,0,0,0,,Cold War,orbital
SL000081,2006-07-27,2006,7,Proton-M,Baikonur Cosmodrome,Russia,Khrunichev,Space Station Resupply,ISS,3261,1,0,structural failure,0,0,0,117.8,Modern,orbital
SL000082,1986-06-26,1986,6,Diamant,Kourou ELA-4 (Ariane 6),Europe,CNES,Technology Demonstration,LEO,23,1,0,range safety,0,0,0,,Cold War,orbital
SL000083,2017-01-09,2017,1,Atlas-Centaur,Vandenberg SFB SLC-4E,USA,GD,Human Spaceflight,LEO,449,1,1,,1,5,0,,Cold War,orbital
SL000084,1973-12-08,1973,12,Vostok-K,Plesetsk Cosmodrome,USSR,OKB-1,Scientific,SSO,1353,1,1,,0,0,0,,Cold War,orbital
SL000085,1962-11-07,1962,11,Thor-Delta,Wallops Flight Facility,USA,NASA,Scientific,LEO,41,1,0,structural failure,0,0,0,,Cold War,orbital
SL000086,1968-03-07,1968,3,Cosmos-3M,Kapustin Yar,USSR,PO Polyot,Defense/Intelligence,HEO,674,1,1,,0,0,0,,Cold War,orbital
SL000087,2011-05-24,2011,5,Long March 4B,Jiuquan Satellite Launch,China,CASC,Lunar,TLI,954,1,1,,0,0,0,25.0,Modern,orbital
SL000088,1989-07-21,1989,7,Soyuz-U,Plesetsk Cosmodrome,USSR,TsSKB,IoT/Cubesat,SSO,1163,1,1,,0,0,0,35.7,Cold War,orbital
SL000089,1972-12-28,1972,12,Voskhod,Kapustin Yar,USSR,OKB-1,Defense/Intelligence,GTO,580,1,1,,0,0,0,,Cold War,orbital
SL000090,1992-08-26,1992,8,Lambda 4S,Uchinoura Space Center,Japan,ISAS,IoT/Cubesat,SSO,4,1,0,engine failure,0,0,0,,Cold War,orbital
SL000091,1972-02-28,1972,2,Proton-K,Kapustin Yar,USSR,Khrunichev,Communications,GEO,1835,1,1,,0,0,0,,Cold War,orbital
